mechanism	edge_kind	path	function	branch	source_anchor	target	expected	evidence_scope
lifecycle_transition_begin	begin	drivers/gpu/drm/radeon/radeon_device.c	radeon_suspend_kms	entry	radeon_rs4xx_hardware_transition_begin\s*\(\s*rdev\s*,\s*RADEON_RS4XX_HARDWARE_RUNNING\s*,\s*RADEON_RS4XX_HARDWARE_SUSPENDING	radeon_rs4xx_hardware_transition_begin	RADEON_RS4XX_HARDWARE_SUSPENDING	source-static
lifecycle_transition_begin	begin	drivers/gpu/drm/radeon/radeon_device.c	radeon_resume_kms	entry	radeon_rs4xx_hardware_transition_begin\s*\(\s*rdev\s*,\s*RADEON_RS4XX_HARDWARE_SUSPENDED\s*,\s*RADEON_RS4XX_HARDWARE_RESUMING	radeon_rs4xx_hardware_transition_begin	RADEON_RS4XX_HARDWARE_RESUMING	source-static
lifecycle_transition_begin	begin	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	entry	radeon_rs4xx_hardware_transition_begin\s*\(\s*rdev\s*,\s*RADEON_RS4XX_HARDWARE_RUNNING\s*,\s*RADEON_RS4XX_HARDWARE_RESETTING	radeon_rs4xx_hardware_transition_begin	RADEON_RS4XX_HARDWARE_RESETTING	source-static
lifecycle_transition_begin	begin	drivers/gpu/drm/radeon/rs400.c	rs400_init	entry	radeon_rs4xx_hardware_transition_begin\s*\(\s*rdev\s*,\s*RADEON_RS4XX_HARDWARE_RUNNING\s*,\s*RADEON_RS4XX_HARDWARE_RESETTING	radeon_rs4xx_hardware_transition_begin	RADEON_RS4XX_HARDWARE_RESETTING	source-static
lifecycle_shutdown_begin	begin	drivers/gpu/drm/radeon/radeon_kms.c	radeon_driver_unload_kms	entry	radeon_rs4xx_hardware_shutdown_begin\s*\(\s*rdev\s*,\s*&prior_state	radeon_rs4xx_hardware_shutdown_begin	NONE	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_suspend_kms	quiesce-failure	if\s*\(\s*!radeon_page_flip_quiesce\s*\(\s*rdev\s*\)\s*\)\s*\{.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_RUNNING	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_suspend_kms	display-failure	if\s*\(\s*suspend_result\s*&&\s*radeon_rs4xx_hardware_target\s*\(\s*rdev\s*\)\s*\)\s*\{.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_RUNNING	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_suspend_kms	suspend-success	#endif\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_SUSPENDED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_suspend_kms	parked-failure	rs4xx_suspend_parked\s*:\s*radeon_rs4xx_publish_parked_state\s*\(\s*rdev\s*\)\s*;\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_resume_kms	pci-enable-rollback	r\s*=\s*pci_enable_device\s*\(\s*pdev\s*\)\s*;\s*if\s*\(\s*r\s*\)\s*\{\s*if\s*\(\s*radeon_rs4xx_hardware_target\s*\(\s*rdev\s*\)\s*\)\s*\{\s*radeon_rs4xx_system_resume_rollback\s*\(\s*pdev\s*\)\s*;\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_SUSPENDED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_resume_kms	resume-success	WRITE_ONCE\s*\(\s*rdev->asic_suspended\s*,\s*false\s*\)\s*;\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_RUNNING	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_resume_kms	parked-failure	rs4xx_resume_parked\s*:\s*radeon_rs4xx_publish_parked_state\s*\(\s*rdev\s*\)\s*;.*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	parked-reentry	dev_err_once\s*\(\s*rdev->dev.*?if\s*\(\s*rs4xx_reset\s*\).*?radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	parked-no-request	if\s*\(\s*!force_reset\s*&&\s*!READ_ONCE\s*\(\s*rdev->needs_reset\s*\)\s*\)\s*\{\s*if\s*\(\s*READ_ONCE\s*\(\s*rdev->gpu_parked\s*\)\s*\)\s*\{.*?if\s*\(\s*rs4xx_reset\s*\)\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_PARKED	source-static
lifecycle_terminal_edge	terminal	drivers/gpu/drm/radeon/radeon_device.c	radeon_gpu_reset_internal	no-request-running	if\s*\(\s*!force_reset\s*&&\s*!READ_ONCE\s*\(\s*rdev->needs_reset\s*\)\s*\)\s*\{.*?return\s*-EIO\s*;\s*\}\s*up_write\s*\(\s*&rdev->exclusive_lock\s*\)\s*;\s*if\s*\(\s*rs4xx_reset\s*\)\s*radeon_rs4xx_hardware_transition_end\s*\(\s*rdev\s*,\s*	radeon_rs4xx_hardware_transition_end	RADEON_RS4XX_HARDWARE_RUNNING	source-static
