entry	file	operation_class	takes_exclusive_lock	hardware_touch	new_resource	existing_resource	current_park_behavior	required_park_behavior	error	evidence	test
RADEON_GEM_CREATE	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_create_ioctl	new-object-admission	read	none	yes	no	refused in radeon_gem_object_create before radeon_bo_create	refused	-EIO	compile-verified	admission refusal precedes allocation
RADEON_GEM_USERPTR	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_userptr_ioctl	new-object-admission	read	none	yes	no	refused in radeon_gem_object_create before radeon_bo_create	refused	-EIO	compile-verified	admission refusal precedes allocation and mn registration
dumb_create	drivers/gpu/drm/radeon/radeon_gem.c:radeon_mode_dumb_create	new-object-admission	read	none	yes	no	refused in radeon_gem_object_create under the read lock	refused	-ENOMEM at the caller	compile-verified	read lock serializes the flag read against the park writer
fbdev_allocation	drivers/gpu/drm/radeon/radeon_fbdev.c:radeon_fbdev_create_pinned_object	new-object-admission	none	none	yes	no	refused in radeon_gem_object_create; runs only at driver load	refused	-EIO	compile-verified	load-time creator observes an unparked device
PRIME_import	drivers/gpu/drm/radeon/radeon_prime.c:radeon_gem_prime_import_sg_table	new-object-admission	none	none	yes	no	admitted; radeon_bo_create is called outside the create funnel	refused	-EIO	gap	import admits no new BO lifetime on a parked device
PRIME_pin	drivers/gpu/drm/radeon/radeon_prime.c:radeon_gem_prime_pin	existing-object-hardware	none	GART table write in system RAM; rs400_gart_tlb_flush	no	yes	PTE writes land in system RAM and rs400_gart_tlb_flush returns before RREG32_MC	permitted with the flush refused	0	compile-verified	parked flush returns before MC indirect access
GEM_MMAP	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_mmap_ioctl	software-offset-query	none	none	no	yes	permitted; radeon_mode_dumb_mmap returns an offset and establishes no PTE	permitted	0	hardware-demonstrated	first touch faults into radeon_gem_fault rather than the setup path
GEM_SET_DOMAIN	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_set_domain_ioctl	software-wait	read	none	no	yes	permitted; the CPU-domain dma_resv wait resolves on fences force-completed by the park	permitted	0	compile-verified	force-completed fences bound the 30 second wait
GEM_BUSY	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_busy_ioctl	software-query	none	none	no	yes	permitted; dma_resv_test_signaled and a placement read	permitted	0 or -EBUSY	compile-verified	query returns without touching the engine
GEM_WAIT_IDLE	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_wait_idle_ioctl	existing-object-hardware	none	mmio_hdp_flush	no	yes	dma_resv wait up to 30 seconds then an unconditional HDP flush for VRAM placement	refused	-EIO	gap	parked refusal precedes mmio_hdp_flush across the whole wait
tiling_set	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_set_tiling_ioctl	software-metadata	none	none	no	yes	permitted; radeon_bo_set_tiling_flags writes BO metadata	permitted	0	compile-verified	metadata write reaches no register
tiling_get	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_get_tiling_ioctl	software-metadata	none	none	no	yes	permitted; radeon_bo_get_tiling_flags reads BO metadata	permitted	0	compile-verified	metadata read reaches no register
GEM_VA	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_va_ioctl	software-metadata	none	none	no	yes	returns -ENOTTY because vm_manager.enabled is false below CHIP_CAYMAN	unreachable on RS4xx	-ENOTTY	compile-verified	RS4xx rejects the entry before any VM work
DRM_RADEON_CS	drivers/gpu/drm/radeon/radeon_cs.c:radeon_cs_ioctl	command-submission	read	none reached	no	yes	returns -EBUSY on accel_working false before parser init, relocation validation, and IB scheduling	bounded refusal	-EBUSY	compile-verified	radeon_gpu_reset clears accel_working before latching gpu_parked under the same writer
object_open	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_object_open	lifecycle	none	none	no	yes	returns 0 early for family below CHIP_CAYMAN and for accel_working false	permitted	0	compile-verified	RS4xx takes the early return before any reservation
object_close	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_object_close	lifecycle	none	none	no	yes	returns early for family below CHIP_CAYMAN and for accel_working false	permitted	void	compile-verified	RS4xx takes the early return before any reservation
object_free	drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_object_free	lifecycle	none	none	no	yes	unregisters the mn and returns, leaking the BO until reboot	permitted	void	hardware-demonstrated	teardown returns before ttm_bo_fini reaches a parked aperture
