guard_id	mechanism	source_symbols	current_guard	execution_device_ids	evidence_device_ids	scope_relation	scope_decision
B13	rs48x-safe-register-snapshot	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_safe_regs_debugfs_init	radeon_rs480_safe_regs != 0 and family in {CHIP_RS400,CHIP_RS480}	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; hardware claims remain limited to 1002:5974
M04	rs4xx-debugfs-registration	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:radeon_rs480_re_debugfs_register	primary DRM minor with a device and debugfs root	RADEON_PCI_IDS	none	infrastructure-only	retain primary-minor infrastructure scope; child operations enforce their own hardware scope
M01	cp-cache-drain	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:radeon_debugfs_rs480_mc_flush_set;drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:radeon_rs480_re_debugfs_register	family in {CHIP_RS400,CHIP_RS480} and accel_working for registration; radeon_device_lock_hardware admits one transaction epoch for execution	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; hardware claims remain limited to 1002:5974
M02	cs-parser-failure-telemetry	drivers/gpu/drm/radeon/radeon_cs.c:radeon_rs480_cs_parser_init_fail	family in {CHIP_RS400,CHIP_RS480}	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; telemetry claims remain limited to 1002:5974
M03	candidate-register-snapshots	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_candidate_regs_debugfs_init	radeon_rs480_candidate_regs != 0 and family in {CHIP_RS400,CHIP_RS480}	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; register safety claims remain limited to 1002:5974
M05	cp-me-ram-dump	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_cp_me_ram_seq_start;drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_cp_me_ram_seq_next;drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_cp_me_ram_seq_show	radeon_rs480_candidate_regs != 0 and family in {CHIP_RS400,CHIP_RS480} for registration; exact radeon_rs480_cp_me_ram_dump == 1 arm is checked by seq_start, seq_next, and seq_show; the terminal selector, predicate, emitter, and sequence operations have a finite direct-call topology; gpu_parked and asic_suspended changes select one encoded terminal position; the schema header is one retry-stable record; data positions stay within RS480_CP_ME_RAM_DUMP_LIMIT; seq_show emits one terminal_status record and seq_start, seq_next, and seq_stop emit no output	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; CP-ME readback claims remain limited to 1002:5974
M06	cp-me-ram-injection	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_cp_me_ram_inject_write	radeon_rs480_candidate_regs != 0 and family in {CHIP_RS400,CHIP_RS480} for registration; exact INJ1 token and radeon_device_lock_hardware for execution	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; injection behavior claims remain limited to 1002:5974
M07	cp-me-oracle	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_cp_me_oracle_show	radeon_rs480_candidate_regs != 0 and family in {CHIP_RS400,CHIP_RS480} for registration; exact ORC1 token; RADEON_IS_IGP excludes the live destructive body	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	matches-exclusion-evidence	retain the IGP live-body exclusion; the safe read and restore path remains family-scoped
M08	safe-register-promotion	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_safe_regs_show	radeon_rs480_safe_regs != 0 and family in {CHIP_RS400,CHIP_RS480} through B13 registration	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; promoted read-safety claims remain limited to 1002:5974
M09	indexed-diagnostic-probes	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_frontier_probe_show;drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_vertex_probe_show	radeon_rs480_candidate_regs != 0 and family in {CHIP_RS400,CHIP_RS480} for registration; selected index in table range and radeon_device_lock_hardware for execution	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; indexed-read claims remain limited to 1002:5974
M10	pll-and-first-read-probes	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_pll_regs_show;drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_hazard_read_show	radeon_rs480_candidate_regs != 0 and family in {CHIP_RS400,CHIP_RS480} for registration; hazard index in table range and radeon_device_lock_hardware for the selected first read	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; indirect and first-read claims remain limited to 1002:5974
M11	force-clock-register-probes	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_force_clock_read_show;drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_force_clock_3d_read_show;drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_gated_read_show	radeon_rs480_candidate_regs != 0 and family in {CHIP_RS400,CHIP_RS480} for registration; selected index in table range and radeon_device_lock_hardware for execution	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; force-clock behavior claims remain limited to 1002:5974
M12	r400-us-command-allowlist	drivers/gpu/drm/radeon/rs400.c:rs480_set_reg_safe	family == CHIP_RS480 and radeon_rs480_r400_us_cs == 1	1002:5954;1002:5955;1002:5974;1002:5975	1002:5974	broader-than-evidence	retain reconstructed CHIP_RS480 scope; command-policy claims remain limited to 1002:5974
M13	panic-breadcrumb	drivers/gpu/drm/radeon/radeon_device.c:radeon_rs480_panic_register	first device with family in {CHIP_RS400,CHIP_RS480}; software-state-only read	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	narrowed to the RS4xx IGP families the ring-wedge model covers; hardware claims remain limited to 1002:5974
M14	igp-mc-idle-wait	drivers/gpu/drm/radeon/r300.c:r300_asic_reset	RADEON_IS_IGP skips r300_mc_wait_for_idle inside r300_asic_reset	1002:5834;1002:5835;1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain the production R300-era IGP guard; silicon claims remain limited to 1002:5974
M15	cp-scratch-oracle	drivers/gpu/drm/radeon/radeon_rs4xx_dev.c:rs480_cp_ib_scratch_oracle_show	radeon_rs480_candidate_regs != 0 and family in {CHIP_RS400,CHIP_RS480} for registration; exact IBSC token; accel_working; ring ready; radeon_device_lock_hardware	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain reconstructed family scope; command-submission claims remain limited to 1002:5974
M16	rs4xx-reset-clock-control	drivers/gpu/drm/radeon/r300.c:r300_asic_reset	family in {CHIP_RS400,CHIP_RS480}	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain the production RS4xx family guard; reset-correctness claims remain limited to 1002:5974
M17	bounded-reset-state-readback	drivers/gpu/drm/radeon/radeon_device.c:radeon_gpu_reset_internal	family in {CHIP_RS400,CHIP_RS480}; RESETTING transition ownership admits reset-local RBBM and CP register readback; RBBM_ACTIVE suppresses unsafe CP readback	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain the production RS4xx family guard; readback safety claims remain limited to 1002:5974
M18	parked-hardware-entry-guards	drivers/gpu/drm/radeon/radeon_device.c:radeon_rs4xx_hardware_transaction_begin;drivers/gpu/drm/radeon/radeon_device.c:radeon_rs4xx_hardware_transition_begin;drivers/gpu/drm/radeon/radeon.h:radeon_device_lock_hardware;drivers/gpu/drm/radeon/radeon_kms.c:radeon_driver_unload_kms;drivers/gpu/drm/radeon/radeon_drv.c:radeon_pci_remove;drivers/gpu/drm/radeon/rs400.c:rs400_startup	RUNNING admits work; RESETTING, SUSPENDING, RESUMING, SHUTTING_DOWN, SHUTDOWN, SUSPENDED, and PARKED close ordinary admission; transition owners retain bounded teardown access; unload and remove retain device ownership when hardware-safe destruction cannot complete; RS400 startup holds one reader epoch from common register programming through indirect-buffer initialization and releases it through one error label	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain effective RS4xx scope; every hardware-bearing entry joins a reader or transaction epoch before leaf access
M19	parked-display-guards	drivers/gpu/drm/radeon/radeon_connectors.c:radeon_lvds_detect;drivers/gpu/drm/radeon/radeon_connectors.c:radeon_vga_detect;drivers/gpu/drm/radeon/radeon_connectors.c:radeon_tv_detect;drivers/gpu/drm/radeon/radeon_connectors.c:radeon_dvi_detect;drivers/gpu/drm/radeon/radeon_connectors.c:radeon_dp_detect;drivers/gpu/drm/radeon/radeon_cursor.c:radeon_crtc_cursor_move;drivers/gpu/drm/radeon/radeon_cursor.c:radeon_crtc_cursor_set2;drivers/gpu/drm/radeon/radeon_display.c:radeon_crtc_page_flip_target;drivers/gpu/drm/radeon/radeon_display.c:radeon_crtc_set_config;drivers/gpu/drm/radeon/radeon_irq_kms.c:radeon_driver_irq_handler_kms;drivers/gpu/drm/radeon/radeon_kms.c:radeon_get_vblank_counter_kms;drivers/gpu/drm/radeon/radeon_kms.c:radeon_enable_vblank_kms	reader admission covers leaf callbacks; transaction admission covers callback-bearing display operations; PARKED publication synchronizes IRQ, polling, work, and retained flip completion	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain effective RS4xx scope; each display entry refuses or completes within its admitted hardware epoch
M20	parked-memory-containment	drivers/gpu/drm/radeon/radeon_fbdev.c:radeon_fbdev_create_pinned_object;drivers/gpu/drm/radeon/radeon_fbdev.c:radeon_fbdev_destroy_pinned_object;drivers/gpu/drm/radeon/radeon_fbdev.c:radeon_fbdev_fb_mmap;drivers/gpu/drm/radeon/radeon_gem.c:radeon_debugfs_gem_info_show;drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_fault;drivers/gpu/drm/radeon/radeon_gem.c:radeon_gem_object_free;drivers/gpu/drm/radeon/radeon_object.c:radeon_bo_create;drivers/gpu/drm/radeon/radeon_object.c:radeon_rs4xx_retain_bo;drivers/gpu/drm/radeon/radeon_object.c:radeon_ttm_bo_destroy;drivers/gpu/drm/radeon/radeon_prime.c:radeon_gem_prime_import_sg_table;drivers/gpu/drm/radeon/radeon_prime.c:radeon_gem_prime_pin;drivers/gpu/drm/radeon/radeon_prime.c:radeon_gem_prime_unpin;drivers/gpu/drm/radeon/radeon_ttm.c:radeon_bo_move;drivers/gpu/drm/radeon/radeon_ttm.c:radeon_rs4xx_retain_ttm;drivers/gpu/drm/radeon/radeon_ttm.c:radeon_ttm_backend_unbind;drivers/gpu/drm/radeon/radeon_ttm.c:radeon_ttm_tt_populate;drivers/gpu/drm/radeon/radeon_ttm.c:radeon_ttm_tt_unpopulate;drivers/gpu/drm/radeon/radeon_ttm.c:radeon_ttm_tt_destroy;drivers/gpu/drm/radeon/radeon_ttm.c:radeon_ttm_fini;drivers/gpu/drm/radeon/radeon_gart.c:radeon_gart_unbind;drivers/gpu/drm/radeon/radeon_gart.c:radeon_gart_fini;drivers/gpu/drm/radeon/rs400.c:rs400_gart_fini;drivers/gpu/drm/radeon/rs400.c:rs400_fini;drivers/gpu/drm/radeon/radeon_device.c:radeon_device_fini;drivers/gpu/drm/radeon/radeon_kms.c:radeon_driver_unload_kms	RS400 and RS480 refuse fbdev framebuffer or MMIO mapping before fb_io_mmap; transaction admission spans BO creation, fault placement, movement, and callback-bearing cleanup; reservation wait precedes bind and a newly installed binding rolls back after later move failure; AGP imported SG admission returns -EOPNOTSUPP before allocation and defensive external-SG population requires a Radeon GTT wrapper; rs4xx_live_bos begins before TTM ownership transfer and ends after final destruction; terminal TTM transfer anchors the complete BO, detached translation table, and pages that leave generic accounting; generic TTM may release the resource range and clear the resource pointer only after admission closes, while GEM debugfs classifies RETAINED or DETACHED before any resource dereference; TTM finalization samples live BOs, retained BOs, retained tables, retained accounted pages, transactions, and readers before ttm_device_fini, returns -EBUSY for any nonzero value, and lets a zero denominator enter the normal empty-queue drain; RUNNING invalid GART unbind returns -EINVAL, latches refusal, and retains binding, page, DMA, and SG ownership; RS400 publishes completed teardown after aperture disable and table release; a teardown refusal preserves complete BO and detached translation-table ownership and propagates into terminal unload retention	1002:5954;1002:5955;1002:5974;1002:5975;1002:5a41;1002:5a42;1002:5a61;1002:5a62	1002:5974	broader-than-evidence	retain effective RS4xx scope; family-wide fbdev mmap refusal closes the source-admitted callback before fb_io_mmap mapping selection; refusal closes new admission and preserves counted ownership; reset, suspend, resume, and unload transitions drain admitted work before publishing their terminal state
