# schema: gororoba-kernel-toolchain-closure-v1
kind	logical_name	relative_path	entry_type	mode	size	identity_sha256	link_target	resolved_sha256	version_first_line	version_output_sha256
command	clang	bin/clang	symlink	0777	8	4fc980b2e8ca46d1bc8224d3cdb1b0b5e0f64fba66cfba8e18ddb3b44770d66e	clang-22	4f86569d7e27c2f2f8ead145099516206214ffd69f8f6ef46f032c1f11140fdb	clang version 22.1.8	f86cc22c46dd0331f4be184c538b1f50a4dacf448bc178646d0f723e54c1d0a7
support	clang-22	bin/clang-22	regular	0755	122264	4f86569d7e27c2f2f8ead145099516206214ffd69f8f6ef46f032c1f11140fdb	-	4f86569d7e27c2f2f8ead145099516206214ffd69f8f6ef46f032c1f11140fdb	-	-
command	clang++	bin/clang++	regular	0755	122168	15c4746b0f48caf36cd9432042dc0047100d0e3d0c37cd87e0bfc6ba42a88e9d	-	15c4746b0f48caf36cd9432042dc0047100d0e3d0c37cd87e0bfc6ba42a88e9d	clang version 22.1.8	f86cc22c46dd0331f4be184c538b1f50a4dacf448bc178646d0f723e54c1d0a7
command	ld.lld	bin/ld.lld	regular	0755	18496	22eee89e7f46cd62e6c07935a58b257521f9e5800c26d58a48d3fa3460596832	-	22eee89e7f46cd62e6c07935a58b257521f9e5800c26d58a48d3fa3460596832	LLD 22.1.8 (compatible with GNU linkers)	4737ec1582692b8394c5d3805631a6be846cfbb4314e4ff95f7c1a6c16a88fad
command	llvm-ar	bin/llvm-ar	regular	0755	80656	57d97acb73f77829269328e2de5d951624689ffbbf3ae43f08ee1801b95024e9	-	57d97acb73f77829269328e2de5d951624689ffbbf3ae43f08ee1801b95024e9	LLVM (http://llvm.org/):	3c7755674e2f614598743a4820671e82eecd505407aaef91368a00ccc2a75cd5
command	llvm-nm	bin/llvm-nm	regular	0755	145304	5cc53b78a7432727f8f83a75a068d033c848bcc3ca1e44acd3226fd0ca53b99c	-	5cc53b78a7432727f8f83a75a068d033c848bcc3ca1e44acd3226fd0ca53b99c	llvm-nm, compatible with GNU nm	020609f87e9e614f366cb47139871f7fc93e640b5a39a02191210746f13dcdce
command	llvm-objcopy	bin/llvm-objcopy	regular	0755	195408	3dc11d698a2990f7fb3c5544e8492f4b5ee77c07f6505bf7ecca0a7d8501d3b0	-	3dc11d698a2990f7fb3c5544e8492f4b5ee77c07f6505bf7ecca0a7d8501d3b0	llvm-objcopy, compatible with GNU objcopy	761a1c60dc885591d6bf317ca87ce81e490c4c8d55bc2236210ad0a9310c9308
command	llvm-objdump	bin/llvm-objdump	regular	0755	799608	196257bba7b9fc07f6fdfe7e348abf7e84088b9c40a07cf8f2b37e16c7b5467e	-	196257bba7b9fc07f6fdfe7e348abf7e84088b9c40a07cf8f2b37e16c7b5467e	LLVM (http://llvm.org/):	9070c8156ed98f38e319ae0507bf740aea0ba308f4564c382f941e8460b30b8b
command	llvm-readelf	bin/llvm-readelf	symlink	0777	12	300c7d1bd7e55d1292e4b4da0ff234b59ba020ac5b5b8f77d384918b830eddef	llvm-readobj	52f46d57b59ba60521f4dc4887f026f4187afd1984514d7dcca8b71446615e75	LLVM (http://llvm.org/):	3c7755674e2f614598743a4820671e82eecd505407aaef91368a00ccc2a75cd5
support	llvm-readobj	bin/llvm-readobj	regular	0755	1819144	52f46d57b59ba60521f4dc4887f026f4187afd1984514d7dcca8b71446615e75	-	52f46d57b59ba60521f4dc4887f026f4187afd1984514d7dcca8b71446615e75	-	-
command	llvm-strip	bin/llvm-strip	symlink	0777	12	be26604cd7208b10a47908f09c1d8b533686cbe619573052f2e132bd552b2155	llvm-objcopy	3dc11d698a2990f7fb3c5544e8492f4b5ee77c07f6505bf7ecca0a7d8501d3b0	llvm-strip, compatible with GNU strip	e6d47d8d8fb485a70995ec794f570c9235fd78e17656b1d440f93ff065dd5674
library	libLLVM.so.22.1	lib/libLLVM.so.22.1	regular	0755	149032480	0a2c1ae632cd180a0f23baeabc12391e195adf06d35b9ec7d513bac712a04f00	-	0a2c1ae632cd180a0f23baeabc12391e195adf06d35b9ec7d513bac712a04f00	-	-
library	libclang-cpp.so.22.1	lib/libclang-cpp.so.22.1	regular	0755	55481640	79ed3e0328a88bd74c082cccb0674959afc042bba621cda9bde69cbfe7926129	-	79ed3e0328a88bd74c082cccb0674959afc042bba621cda9bde69cbfe7926129	-	-
library	liblldCOFF.so.22.1	lib/liblldCOFF.so.22.1	regular	0755	1288216	eddaf22d64db6d486097c614b60c19bd4fded9396c8828a6944aeb2cf02b12c2	-	eddaf22d64db6d486097c614b60c19bd4fded9396c8828a6944aeb2cf02b12c2	-	-
