effect_atom	commit_id	allocation	notes
0002.0	M01	whole	radeon/radeon_device.c: mc-flush-early-crash-telemetry
0003.0	M17	final-effect	radeon/radeon_device.c: mc-flush-early-crash-telemetry
0004.0	M03	whole	radeon/radeon_drv.c: candidate-status-register-surfaces
0004.1	M03	whole	radeon/radeon.h: candidate-status-register-surfaces
0004.2	M03	whole	radeon/rs400.c: candidate-status-register-surfaces
0005.0	M03	whole	radeon/rs400.c: candidate-status-register-surfaces
0006.0	M05	whole	radeon/radeon_drv.c: cp-me-dump-inject-oracle
0006.1	M05	whole	radeon/rs400.c: cp-me-dump-inject-oracle
0006.2	M05	whole	radeon/radeon.h: cp-me-dump-inject-oracle
0007.0	M02	whole	radeon/radeon_cs.c: mc-flush-early-crash-telemetry
0008.0	M06	whole	radeon/radeon.h: cp-me-dump-inject-oracle
0008.1	M06	whole	radeon/radeon_drv.c: cp-me-dump-inject-oracle
0008.2	M06	whole	radeon/rs400.c: cp-me-dump-inject-oracle
0009.0	M04	whole	radeon/radeon.h: debugfs-registration-root
0009.1	M04	whole	radeon/radeon_device.c: debugfs-registration-root
0009.2	M04	whole	radeon/radeon_drv.c: debugfs-registration-root
0009.3	M04	whole	radeon/rs400.c: debugfs-registration-root
0010.0	M03	whole	radeon/rs400.c: candidate-status-register-surfaces
0011.0	M03	whole	radeon/rs400.c: candidate-status-register-surfaces
0012.0	M03	whole	radeon/rs400.c: candidate-status-register-surfaces
0013.0	M07	whole	radeon/rs400.c: cp-me-dump-inject-oracle
0013.1	M07	whole	radeon/radeon_drv.c: cp-me-dump-inject-oracle
0013.2	M07	whole	radeon/radeon.h: cp-me-dump-inject-oracle
0014.0	M08	whole	radeon/rs400.c: safe-register-promotion
0015.0	M09	whole	radeon/radeon.h: gated-hazard-readers
0015.1	M09	whole	radeon/radeon_drv.c: gated-hazard-readers
0015.2	M09	whole	radeon/rs400.c: gated-hazard-readers
0016.0	M06	whole	radeon/rs400.c: cp-me-dump-inject-oracle
0017.0	M08	whole	radeon/rs400.c: safe-register-promotion
0018.0	M03	whole	radeon/rs400.c: candidate-status-register-surfaces
0019.0	M10	whole	radeon/radeon.h: gated-hazard-readers
0019.1	M10	whole	radeon/radeon_drv.c: gated-hazard-readers
0019.2	M10	whole	radeon/rs400.c: gated-hazard-readers
0020.0	M08	whole	radeon/rs400.c: safe-register-promotion
0021.0	M12	whole	radeon/Makefile: r400-us-cs-allowlist
0021.1	M12	whole	radeon/reg_srcs/rs480: r400-us-cs-allowlist
0021.2	M12	whole	radeon/radeon.h: r400-us-cs-allowlist
0021.3	M12	whole	radeon/radeon_drv.c: r400-us-cs-allowlist
0021.4	M12	whole	radeon/rs400.c: r400-us-cs-allowlist
0022.0	M09	whole	radeon/radeon.h: gated-hazard-readers
0022.1	M09	whole	radeon/radeon_drv.c: gated-hazard-readers
0022.2	M09	whole	radeon/rs400.c: gated-hazard-readers
0024.0	M03	whole	radeon/rs400.c: gated-hazard-readers
0025.0	M11	whole	radeon/radeon.h: gated-hazard-readers
0025.1	M11	whole	radeon/radeon_drv.c: gated-hazard-readers
0025.2	M11	whole	radeon/rs400.c: gated-hazard-readers
0026.0	M03	whole	radeon/radeon.h: gated-hazard-readers
0026.1	M03	whole	radeon/radeon_drv.c: gated-hazard-readers
0026.2	M03	whole	radeon/rs400.c: gated-hazard-readers
0027.0	M13	whole	radeon/radeon_device.c: panic-breadcrumb
0028.0	M08	safe-list-part	radeon/rs400.c: safe-register-promotion
0028.1	M03	hazard-reader-part	radeon/rs400.c: gated-hazard-readers
0029.0	M11	whole	radeon/rs400.c: gated-hazard-readers
0030.0	M11	whole	radeon/rs400.c: gated-hazard-readers
0031.0	M09	whole	radeon/radeon.h: gated-hazard-readers
0031.1	M09	whole	radeon/radeon_drv.c: gated-hazard-readers
0031.2	M09	whole	radeon/rs400.c: gated-hazard-readers
0032.0	M11	whole	radeon/rs400.c: gated-hazard-readers
0033.0	M11	whole	radeon/radeon_drv.c: gated-hazard-readers
0033.1	M11	whole	radeon/radeon.h: gated-hazard-readers
0033.2	M11	whole	radeon/rs400.c: gated-hazard-readers
0034.0	M11	whole	radeon/rs400.c: gated-hazard-readers
0035.0	M11	whole	radeon/rs400.c: gated-hazard-readers
0036.0	M14	whole	radeon/r300.c: igp-mc-idle-wait-correction
0037.0	M11	whole	radeon/rs400.c: gated-hazard-readers
0038.0	M06	whole	radeon/rs400.c: cp-me-dump-inject-oracle
0039.0	M15	whole	radeon/rs400.c: reset-scratch-oracle-probes
0039.1	M15	whole	radeon/radeon_drv.c: reset-scratch-oracle-probes
0039.2	M15	whole	radeon/radeon.h: reset-scratch-oracle-probes
0040.0	M22	whole	radeon/rs400.c: reset-scratch-oracle-probes
0040.1	M22	whole	radeon/radeon_drv.c: reset-scratch-oracle-probes
0040.2	M22	whole	radeon/radeon.h: reset-scratch-oracle-probes
0041.0	M22	whole	radeon/rs400.c: reset-scratch-oracle-probes
0041.1	M22	whole	radeon/radeon_drv.c: reset-scratch-oracle-probes
0041.2	M22	whole	radeon/radeon.h: reset-scratch-oracle-probes
0042.0	M22	whole	radeon/rs400.c: reset-scratch-oracle-probes
0042.1	M22	whole	radeon/radeon_drv.c: reset-scratch-oracle-probes
0043.0	M16	whole	radeon/r300.c: production-reset-wedge-safe-readback
0044.0	M22	whole	radeon/radeon_drv.c: reset-scratch-oracle-probes
0044.1	M22	whole	radeon/rs400.c: reset-scratch-oracle-probes
0045.0	M17	whole	radeon/radeon_device.c: production-reset-wedge-safe-readback
0046.0	M21	whole	radeon/radeon_device.c: parked-state-classification
0046.1	M21	whole	radeon/rs400.c: parked-state-classification
0046.2	M21	whole	radeon/radeon_kms.c: parked-state-classification
0047.0	M21	whole	radeon/r300.c: parked-state-classification
0048.0	M21	whole	radeon/r300.c: parked-state-classification
0048.1	M21	whole	radeon/rs400.c: parked-state-classification
0049.0	M18	whole	radeon/radeon.h: parked-driver-entry-gates
0049.1	M21	whole	radeon/radeon_device.c: parked-driver-entry-gates
0049.2	M18	whole	radeon/rs400.c: parked-driver-entry-gates
0050.0	M19	whole	radeon/radeon_display.c: parked-driver-entry-gates
0050.1	M19	whole	radeon/radeon_kms.c: parked-driver-entry-gates
0051.0	M18	whole	radeon/radeon_fence.c: parked-driver-entry-gates
0051.1	M21	whole	radeon/radeon_device.c: parked-driver-entry-gates
0052.0	M20	whole	radeon/radeon_gem.c: parked-memory-fault-containment
0052.1	M20	whole	radeon/radeon_ttm.c: parked-memory-fault-containment
0053.0	M20	whole	radeon/radeon_gem.c: parked-memory-fault-containment
0054.0	M20	whole	radeon/radeon_gem.c: parked-memory-fault-containment
0055.0	M18	whole	radeon/rs400.c: parked-driver-entry-gates
0056.0	M21	whole	radeon/radeon_device.c: parked-driver-entry-gates
0057.0	M21	whole	radeon/radeon_device.c: parked-driver-entry-gates
0058.0	M19	whole	radeon/radeon_connectors.c: parked-driver-entry-gates
0058.1	M21	whole	radeon/radeon_device.c: parked-driver-entry-gates
0059.0	M20	whole	radeon/radeon_fbdev.c: parked-memory-fault-containment
0060.0	M20	whole	radeon/radeon_gem.c: parked-memory-fault-containment
0060.1	M21	whole	radeon/radeon_device.c: parked-memory-fault-containment
0061.0	M18	whole	radeon/rs400.c: parked-driver-entry-gates
0062.0	M18	whole	radeon/radeon_kms.c: parked-driver-entry-gates
0062.1	M18	whole	radeon/radeon_drv.c: parked-driver-entry-gates
0063.0	M23	whole	radeon/r300.c: reset-mask-candidate-mechanism
0064.0	M23	whole	radeon/r300.c: reset-mask-candidate-mechanism
0065.0	M23	whole	radeon/r300.c: reset-mask-candidate-mechanism
0066.0	M23	whole	radeon/r300.c: reset-mask-candidate-mechanism
0067.0	M23	whole	radeon/r300.c: reset-mask-candidate-mechanism
0068.0	M23	whole	radeon/r300.c: reset-mask-candidate-mechanism
0069.0	M20	whole	radeon/radeon_fbdev.c: parked-memory-fault-containment
0070.0	M20	whole	radeon/radeon_gem.c: parked-memory-fault-containment
0071.0	M19	whole	radeon/radeon_irq_kms.c: parked-driver-entry-gates
0071.1	M21	whole	radeon/radeon_device.c: parked-driver-entry-gates
0071.2	M19	whole	radeon/radeon_cursor.c: parked-driver-entry-gates
0071.3	M19	whole	radeon/radeon_connectors.c: parked-driver-entry-gates
0071.4	M19	whole	radeon/radeon_kms.c: parked-driver-entry-gates
0071.5	M18	whole	radeon/rs400.c: parked-driver-entry-gates
0072.0	M24	whole	radeon/rs400.c: gart-page-table-reader
